timestamp,label,pids,total_cpu,total_rss_kb
2026-05-15T00:08:55.509Z,cozy-rain,92142+92147+92148+92150+92151,37.0,520208
2026-05-15T00:09:00.537Z,cozy-rain,92142+92147+92148+92150+92151,40.9,519760
2026-05-15T00:09:05.560Z,cozy-rain,92142+92147+92148+92150+92151,39.1,519968
2026-05-15T00:09:10.585Z,cozy-rain,92142+92147+92148+92150+92151,36.5,520352
2026-05-15T00:09:15.612Z,cozy-rain,92142+92147+92148+92150+92151,38.6,521360
2026-05-15T00:09:20.637Z,cozy-rain,92142+92147+92148+92150+92151,39.0,521424
2026-05-15T00:09:25.664Z,cozy-rain,92142+92147+92148+92150+92151,36.4,523072
2026-05-15T00:09:30.691Z,cozy-rain,92142+92147+92148+92150+92151,40.7,507760
2026-05-15T00:09:35.722Z,cozy-rain,92142+92147+92148+92150+92151,39.3,507200
2026-05-15T00:09:40.748Z,cozy-rain,92142+92147+92148+92150+92151,40.0,507424
2026-05-15T00:09:45.772Z,cozy-rain,92142+92147+92148+92150+92151,38.9,507232
2026-05-15T00:09:50.804Z,cozy-rain,92142+92147+92148+92150+92151,40.7,507264
