timestamp,label,pids,total_cpu,total_rss_kb
2026-05-15T00:16:45.124Z,greyglass,92142+92147+92148+92150+92151,33.9,520224
2026-05-15T00:16:50.155Z,greyglass,92142+92147+92148+92150+92151,35.4,520160
2026-05-15T00:16:55.186Z,greyglass,92142+92147+92148+92150+92151,39.7,520224
2026-05-15T00:17:00.214Z,greyglass,92142+92147+92148+92150+92151,38.2,520288
2026-05-15T00:17:05.241Z,greyglass,92142+92147+92148+92150+92151,40.3,520528
2026-05-15T00:17:10.271Z,greyglass,92142+92147+92148+92150+92151,40.3,520592
2026-05-15T00:17:15.296Z,greyglass,92142+92147+92148+92150+92151,36.7,520592
2026-05-15T00:17:20.326Z,greyglass,92142+92147+92148+92150+92151,38.4,511088
2026-05-15T00:17:25.356Z,greyglass,92142+92147+92148+92150+92151,40.5,511408
2026-05-15T00:17:30.383Z,greyglass,92142+92147+92148+92150+92151,40.4,511504
2026-05-15T00:17:35.412Z,greyglass,92142+92147+92148+92150+92151,40.2,511552
2026-05-15T00:17:40.439Z,greyglass,92142+92147+92148+92150+92151,39.7,511808
