timestamp,label,pids,total_cpu,total_rss_kb
2026-05-15T00:02:39.586Z,winterglass,92142+92147+92148+92150+92151,35.5,538448
2026-05-15T00:02:44.616Z,winterglass,92142+92147+92148+92150+92151,40.2,538848
2026-05-15T00:02:49.645Z,winterglass,92142+92147+92148+92150+92151,39.8,538880
2026-05-15T00:02:54.674Z,winterglass,92142+92147+92148+92150+92151,39.1,539104
2026-05-15T00:02:59.702Z,winterglass,92142+92147+92148+92150+92151,39.0,539200
2026-05-15T00:03:04.730Z,winterglass,92142+92147+92148+92150+92151,39.3,531456
2026-05-15T00:03:09.760Z,winterglass,92142+92147+92148+92150+92151,38.0,531760
2026-05-15T00:03:14.795Z,winterglass,92142+92147+92148+92150+92151,37.8,526624
2026-05-15T00:03:19.829Z,winterglass,92142+92147+92148+92150+92151,39.9,526736
2026-05-15T00:03:24.854Z,winterglass,92142+92147+92148+92150+92151,39.2,526848
2026-05-15T00:03:29.876Z,winterglass,92142+92147+92148+92150+92151,41.2,526912
2026-05-15T00:03:34.905Z,winterglass,92142+92147+92148+92150+92151,42.3,527168
